lon,lat,type,a
-91.0,33.9,GR,0.028330000
-91.0,34.0,GR,0.028511000
-90.9,34.0,GR,0.028316000
-91.1,34.1,GR,0.028999000
-91.0,34.1,GR,0.028839000
-90.9,34.1,GR,0.028703000
-91.1,34.2,GR,0.038443000
-91.0,34.2,GR,0.029438000
-90.9,34.2,GR,0.029415000
-90.8,34.2,GR,0.029391000
-91.2,34.3,GR,0.039228000
-91.1,34.3,GR,0.039268000
-91.0,34.3,GR,0.039400000
-90.9,34.3,GR,0.039567000
-90.8,34.3,GR,0.030771000
-90.7,34.3,GR,0.030845000
-91.3,34.4,GR,0.040200000
-91.2,34.4,GR,0.040279000
-91.1,34.4,GR,0.040566000
-91.0,34.4,GR,0.040983000
-90.9,34.4,GR,0.041440000
-90.8,34.4,GR,0.041845000
-90.7,34.4,GR,0.033181000
-90.6,34.4,GR,0.033245000
-91.4,34.5,GR,0.041479000
-91.3,34.5,GR,0.041443000
-91.2,34.5,GR,0.041789000
-91.1,34.5,GR,0.042430000
-91.0,34.5,GR,0.043249000
-90.9,34.5,GR,0.044112000
-90.8,34.5,GR,0.044878000
-90.7,34.5,GR,0.045417000
-90.6,34.5,GR,0.036709000
-90.5,34.5,GR,0.036541000
-91.5,34.6,GR,0.043295000
-91.4,34.6,GR,0.042883000
-91.3,34.6,GR,0.043070000
-91.2,34.6,GR,0.043776000
-91.1,34.6,GR,0.044878000
-91.0,34.6,GR,0.046215000
-90.9,34.6,GR,0.047599000
-90.8,34.6,GR,0.048832000
-90.7,34.6,GR,0.049731000
-90.6,34.6,GR,0.050157000
-90.5,34.6,GR,0.041130000
-91.7,34.7,GR,0.048024000
-91.6,34.7,GR,0.045997000
-91.5,34.7,GR,0.044862000
-91.4,34.7,GR,0.044564000
-91.3,34.7,GR,0.045036000
-91.2,34.7,GR,0.046175000
-91.1,34.7,GR,0.047822000
-91.0,34.7,GR,0.049767000
-90.9,34.7,GR,0.051765000
-90.8,34.7,GR,0.053561000
-90.7,34.7,GR,0.054926000
-90.6,34.7,GR,0.055693000
-90.5,34.7,GR,0.055804000
-90.4,34.7,GR,0.046542000
-91.9,34.8,GR,0.064385000
-91.8,34.8,GR,0.056443000
-91.7,34.8,GR,0.050972000
-91.6,34.8,GR,0.047966000
-91.5,34.8,GR,0.046625000
-91.4,34.8,GR,0.046450000
-91.3,34.8,GR,0.047240000
-91.2,34.8,GR,0.048844000
-91.1,34.8,GR,0.051069000
-91.0,34.8,GR,0.053660000
-90.9,34.8,GR,0.056326000
-90.8,34.8,GR,0.058775000
-90.7,34.8,GR,0.060767000
-90.6,34.8,GR,0.062162000
-90.5,34.8,GR,0.063060000
-90.4,34.8,GR,0.064593000
-90.3,34.8,GR,0.071193000
-92.1,34.9,GR,0.14506000
-92.0,34.9,GR,0.13576000
-91.9,34.9,GR,0.10328000
-91.8,34.9,GR,0.074688000
-91.7,34.9,GR,0.058013000
-91.6,34.9,GR,0.050899000
-91.5,34.9,GR,0.048631000
-91.4,34.9,GR,0.048478000
-91.3,34.9,GR,0.049567000
-91.2,34.9,GR,0.051614000
-91.1,34.9,GR,0.054383000
-91.0,34.9,GR,0.057589000
-90.9,34.9,GR,0.060925000
-90.8,34.9,GR,0.064123000
-90.7,34.9,GR,0.067019000
-90.6,34.9,GR,0.069617000
-90.5,34.9,GR,0.072517000
-90.4,34.9,GR,0.079542000
-90.3,34.9,GR,0.10801000
-90.2,34.9,GR,0.20229000
-90.1,34.9,GR,0.37440000
-92.0,35.0,GR,0.32931000
-91.9,35.0,GR,0.22624000
-91.8,35.0,GR,0.12554000
-91.7,35.0,GR,0.073302000
-91.6,35.0,GR,0.055686000
-91.5,35.0,GR,0.051018000
-91.4,35.0,GR,0.050650000
-91.3,35.0,GR,0.051978000
-91.2,35.0,GR,0.054393000
-91.1,35.0,GR,0.057605000
-91.0,35.0,GR,0.061324000
-90.9,35.0,GR,0.065281000
-90.8,35.0,GR,0.069334000
-90.7,35.0,GR,0.073559000
-90.6,35.0,GR,0.078316000
-90.5,35.0,GR,0.084920000
-90.4,35.0,GR,0.10164000
-90.3,35.0,GR,0.16797000
-90.2,35.0,GR,0.36222000
-90.1,35.0,GR,0.73714000
-90.0,35.0,GR,1.1194000
-91.9,35.1,GR,0.39431000
-91.8,35.1,GR,0.19535000
-91.7,35.1,GR,0.091180000
-91.6,35.1,GR,0.061108000
-91.5,35.1,GR,0.053718000
-91.4,35.1,GR,0.053095000
-91.3,35.1,GR,0.054617000
-91.2,35.1,GR,0.057304000
-91.1,35.1,GR,0.060818000
-91.0,35.1,GR,0.064888000
-90.9,35.1,GR,0.069355000
-90.8,35.1,GR,0.074373000
-90.7,35.1,GR,0.080641000
-90.6,35.1,GR,0.089482000
-90.5,35.1,GR,0.10464000
-90.4,35.1,GR,0.13492000
-90.3,35.1,GR,0.21665000
-90.2,35.1,GR,0.45624000
-90.1,35.1,GR,0.95913000
-90.0,35.1,GR,1.5150000
-89.9,35.1,GR,1.5964000
-91.8,35.2,GR,0.21247000
-91.7,35.2,GR,0.095212000
-91.6,35.2,GR,0.063808000
-91.5,35.2,GR,0.056504000
-91.4,35.2,GR,0.056133000
-91.3,35.2,GR,0.057912000
-91.2,35.2,GR,0.060821000
-91.1,35.2,GR,0.064504000
-91.0,35.2,GR,0.068734000
-90.9,35.2,GR,0.073551000
-90.8,35.2,GR,0.079792000
-90.7,35.2,GR,0.090151000
-90.6,35.2,GR,0.11350000
-90.5,35.2,GR,0.15589000
-90.4,35.2,GR,0.21213000
-90.3,35.2,GR,0.28422000
-90.2,35.2,GR,0.44578000
-90.1,35.2,GR,0.81036000
-90.0,35.2,GR,1.2445000
-89.9,35.2,GR,1.3210000
-89.8,35.2,GR,0.95898000
-89.7,35.2,GR,0.53119000
-91.7,35.3,GR,0.083532000
-91.6,35.3,GR,0.063972000
-91.5,35.3,GR,0.059873000
-91.4,35.3,GR,0.060399000
-91.3,35.3,GR,0.062624000
-91.2,35.3,GR,0.065816000
-91.1,35.3,GR,0.069623000
-91.0,35.3,GR,0.073862000
-90.9,35.3,GR,0.078945000
-90.8,35.3,GR,0.087706000
-90.7,35.3,GR,0.11397000
-90.6,35.3,GR,0.18634000
-90.5,35.3,GR,0.33075000
-90.4,35.3,GR,0.50202000
-90.3,35.3,GR,0.57101000
-90.2,35.3,GR,0.55239000
-90.1,35.3,GR,0.60383000
-90.0,35.3,GR,0.72624000
-89.9,35.3,GR,0.74486000
-89.8,35.3,GR,0.59868000
-89.7,35.3,GR,0.40844000
-89.6,35.3,GR,0.26644000
-91.6,35.4,GR,0.065674000
-91.5,35.4,GR,0.065004000
-91.4,35.4,GR,0.066757000
-91.3,35.4,GR,0.069750000
-91.2,35.4,GR,0.073467000
-91.1,35.4,GR,0.077520000
-91.0,35.4,GR,0.081793000
-90.9,35.4,GR,0.087778000
-90.8,35.4,GR,0.11009000
-90.7,35.4,GR,0.20970000
-90.6,35.4,GR,0.51351000
-90.5,35.4,GR,1.0977000
