lon,lat,type,a
-91.0,33.900000,GR,0.064480000
-91.0,34.000000,GR,0.064810000
-90.9,34.000000,GR,0.075220000
-91.1,34.100000,GR,0.054310000
-91.0,34.100000,GR,0.065440000
-90.9,34.100000,GR,0.076450000
-91.1,34.200000,GR,0.065250000
-91.0,34.200000,GR,0.068480000
-90.9,34.200000,GR,0.079840000
-90.8,34.200000,GR,0.090430000
-91.2,34.300000,GR,0.064230000
-91.1,34.300000,GR,0.071880000
-91.0,34.300000,GR,0.080750000
-90.9,34.300000,GR,0.090200000
-90.8,34.300000,GR,0.10010000
-90.7,34.300000,GR,0.11050000
-91.3,34.400000,GR,0.070740000
-91.2,34.400000,GR,0.076950000
-91.1,34.400000,GR,0.084900000
-91.0,34.400000,GR,0.094210000
-90.9,34.400000,GR,0.10640000
-90.8,34.400000,GR,0.11950000
-90.7,34.400000,GR,0.13180000
-90.6,34.400000,GR,0.14270000
-91.4,34.500000,GR,0.085170000
-91.3,34.500000,GR,0.090050000
-91.2,34.500000,GR,0.097400000
-91.1,34.500000,GR,0.10860000
-91.0,34.500000,GR,0.12190000
-90.9,34.500000,GR,0.13660000
-90.8,34.500000,GR,0.15220000
-90.7,34.500000,GR,0.16750000
-90.6,34.500000,GR,0.18180000
-90.5,34.500000,GR,0.19400000
-91.5,34.600000,GR,0.11160000
-91.4,34.600000,GR,0.11460000
-91.3,34.600000,GR,0.12200000
-91.2,34.600000,GR,0.13290000
-91.1,34.600000,GR,0.14660000
-91.0,34.600000,GR,0.16290000
-90.9,34.600000,GR,0.18120000
-90.8,34.600000,GR,0.20080000
-90.7,34.600000,GR,0.22060000
-90.6,34.600000,GR,0.23950000
-90.5,34.600000,GR,0.25600000
-91.7,34.700000,GR,0.17140000
-91.6,34.700000,GR,0.15800000
-91.5,34.700000,GR,0.15280000
-91.4,34.700000,GR,0.15520000
-91.3,34.700000,GR,0.16400000
-91.2,34.700000,GR,0.17790000
-91.1,34.700000,GR,0.19550000
-91.0,34.700000,GR,0.21650000
-90.9,34.700000,GR,0.24030000
-90.8,34.700000,GR,0.26590000
-90.7,34.700000,GR,0.29210000
-90.6,34.700000,GR,0.31720000
-90.5,34.700000,GR,0.33930000
-90.4,34.700000,GR,0.35640000
